Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
0,22.690628051757812,0,0,5,0,10,18,52
0,0,22.53125762939453,0,7,0,3,27,57
10,8.500961303710938,0,6,11,0,0,26,52
10,0,17.276172637939453,0,4,0,12,16,59
20,4.29585599899292,0,7,9,0,7,18,52
20,0,11.628593444824219,0,0,0,11,6,55
30,2.571387767791748,0,7,10,0,11,14,51
30,0,11.16831111907959,0,0,0,12,0,59
40,1.91696035861969,0,11,9,0,11,9,53
40,0,9.420697212219238,0,0,0,18,0,57
50,2.045462131500244,0,10,12,0,10,9,52
50,0,9.647934913635254,0,0,0,15,0,57
60,1.4895000457763672,0,12,7,0,12,11,51
60,0,11.175360679626465,0,0,0,12,0,60
70,1.5033897161483765,0,14,10,0,13,5,51
70,0,9.904054641723633,0,0,0,14,0,56
80,1.3263535499572754,0,10,15,0,14,6,53
80,0,12.24744701385498,0,0,0,9,0,62
90,1.6029095649719238,0,13,8,0,11,7,50
90,0,9.410079956054688,0,0,0,11,0,56
100,1.5415139198303223,0,14,8,0,10,9,53
100,0,10.370237350463867,0,0,0,17,0,56
110,1.0444104671478271,0,15,11,0,16,5,52
110,0,10.942516326904297,0,0,0,14,1,58
120,1.133314609527588,0,19,5,0,11,6,51
120,0,10.216660499572754,0,0,0,9,1,58
130,1.4097626209259033,0,13,12,0,12,4,52
130,0,10.954426765441895,0,0,0,12,0,59
140,1.0986124277114868,0,16,10,0,10,4,53
140,0,10.313172340393066,0,0,0,15,0,60
150,1.1168371438980103,0,15,9,0,16,6,52
150,0,9.275707244873047,0,0,0,16,1,57
160,1.040892243385315,0,13,12,0,13,4,52
160,0,10.446297645568848,0,0,0,14,0,56
170,0.995392918586731,0,19,7,0,13,6,52
170,0,10.340158462524414,0,0,0,16,0,57
180,1.3027896881103516,0,19,8,0,8,4,51
180,0,9.633474349975586,0,0,0,14,2,57
190,1.1915359497070312,0,16,10,0,13,5,51
190,0,10.639201164245605,0,0,0,16,1,58
200,1.0156581401824951,0,18,10,0,9,4,52
200,0,11.316351890563965,0,0,0,18,2,60
210,0.7756509184837341,0,13,16,0,11,5,51
210,0,10.503324508666992,0,1,0,15,0,57
220,1.0467661619186401,0,16,11,0,9,5,52
220,0,10.294910430908203,0,0,0,17,0,58
230,0.9460741281509399,0,18,9,0,11,4,53
230,0,10.355546951293945,0,0,0,12,0,58
240,1.0360082387924194,0,20,4,0,7,8,51
240,0,10.545156478881836,0,0,0,16,1,58
250,0.7994706630706787,0,14,10,0,17,6,52
250,0,10.910883903503418,0,0,0,12,0,59
260,0.9464232921600342,0,19,7,0,16,4,54
260,0,11.381097793579102,0,0,0,18,0,60
270,0.8152462840080261,0,18,10,0,9,4,53
270,0,11.511116027832031,0,0,0,16,2,59
280,0.7297848463058472,0,24,5,0,12,4,52
280,0,10.652592658996582,0,0,0,17,1,57
290,1.1344003677368164,0,17,10,0,11,5,52
290,0,10.276933670043945,0,0,0,19,1,57
300,0.8575407862663269,0,22,5,0,11,5,51
300,0,10.214378356933594,0,1,0,10,3,55
310,0.5523293614387512,0,22,8,0,13,4,52
310,0,11.653005599975586,0,1,0,12,3,59
320,0.6742607355117798,0,20,6,0,14,4,52
320,0,11.662799835205078,0,1,0,18,0,60
330,0.8717954754829407,0,22,5,0,11,7,52
330,0,11.938316345214844,0,1,0,19,0,61
340,0.8755992650985718,0,17,9,0,9,6,51
340,0,11.641260147094727,0,0,0,15,1,58
350,0.6397654414176941,0,21,6,0,12,5,51
350,0,11.173177719116211,0,0,0,14,4,58
360,0.7121948003768921,0,21,5,0,11,5,51
360,0,9.930232048034668,0,0,0,17,1,55
370,0.6144706010818481,0,22,5,0,14,5,51
370,0,11.050863265991211,0,0,0,16,0,58
380,0.7348210215568542,0,18,8,0,11,5,54
380,0,11.418362617492676,0,0,0,17,2,60
390,0.7171940803527832,0,21,7,0,11,4,51
390,0,10.908113479614258,0,0,0,15,3,56
400,0.7775917053222656,0,17,9,0,12,6,51
400,0,10.697171211242676,0,1,0,17,2,57
410,0.5291609764099121,0,21,5,0,11,7,53
410,0,11.510037422180176,0,0,0,17,2,58
420,0.7381279468536377,0,19,6,0,14,6,53
420,0,11.862378120422363,0,1,0,17,2,60
430,0.5040524005889893,0,21,10,0,12,4,53
430,0,11.523157119750977,0,0,0,14,1,59
440,0.6254452466964722,0,17,10,0,15,3,52
440,0,12.073155403137207,0,0,0,12,3,59
450,0.8140896558761597,0,21,6,0,12,6,53
450,0,11.427421569824219,0,1,0,16,0,57
460,0.5691255927085876,0,16,10,0,13,5,51
460,0,10.718445777893066,0,2,0,13,4,58
470,0.43311500549316406,0,23,8,0,11,4,52
470,0,11.646849632263184,0,1,0,15,3,59
480,0.7970693111419678,0,21,7,0,10,8,52
480,0,11.786725997924805,0,0,0,13,3,58
490,0.4902316927909851,0,20,10,0,15,3,53
490,0,10.989763259887695,0,0,0,12,1,56
500,0.5379024147987366,0,22,11,0,10,3,52
500,0,10.663768768310547,0,0,0,13,5,58
510,0.394015908241272,0,18,11,0,11,6,51
510,0,11.609808921813965,0,1,0,22,1,57
520,0.6344651579856873,0,22,6,0,12,6,51
520,0,11.80069351196289,0,0,0,16,1,56
530,0.46243715286254883,0,25,9,0,8,2,52
530,0,12.114885330200195,0,0,0,15,3,57
540,0.7515729665756226,0,22,6,0,12,6,52
540,0,11.657390594482422,0,0,0,12,3,59
550,0.6498473286628723,0,22,6,0,15,7,52
550,0,10.609331130981445,0,0,0,15,3,56
560,0.5056536793708801,0,23,5,0,14,6,52
560,0,11.178727149963379,0,1,0,15,6,58
570,0.46797141432762146,0,18,9,0,15,7,52
570,0,10.804265975952148,0,0,0,13,3,55
580,0.5518252849578857,0,24,7,0,12,4,51
580,0,12.091296195983887,0,0,0,12,2,57
590,0.6044231057167053,0,19,13,0,12,3,52
590,0,11.445716857910156,0,1,0,11,4,56
600,0.5057907700538635,0,21,8,0,11,8,53
600,0,12.280462265014648,0,0,0,16,5,59
610,0.4957883954048157,0,22,6,0,13,6,52
610,0,12.324333190917969,0,0,0,14,5,59
620,0.505203127861023,0,26,5,0,12,6,53
620,0,13.355159759521484,0,0,0,14,5,60
630,0.5233808755874634,0,20,7,0,13,7,54
630,0,12.32364273071289,0,0,0,17,4,61
640,0.43234726786613464,0,26,7,0,12,1,51
640,0,11.271099090576172,0,3,0,17,4,58
650,0.5751485824584961,0,26,5,0,13,5,52
650,0,12.348883628845215,0,2,0,16,6,59
660,0.41461896896362305,0,24,5,0,13,6,52
660,0,11.540117263793945,0,2,0,13,6,57
670,0.4589330554008484,0,24,6,0,11,5,51
670,0,11.707565307617188,0,1,0,13,4,54
680,0.3570398986339569,0,25,6,0,14,4,53
680,0,12.199287414550781,0,2,0,14,2,58
690,0.4009498953819275,0,22,4,0,14,5,52
690,0,11.879127502441406,0,1,0,13,3,57
700,0.5070902109146118,0,22,10,0,12,3,51
700,0,10.975558280944824,0,2,0,16,4,56
710,0.4185892343521118,0,23,7,0,11,6,52
710,0,10.943658828735352,0,2,0,11,4,56
