Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
550,0,8.565166473388672,0,2,0,9,1,46
560,0.672165036201477,0,22,10,0,7,4,53
560,0,7.867955207824707,0,2,0,12,1,43
570,0.5449548363685608,0,19,9,0,10,3,52
570,0,8.934877395629883,0,0,0,12,3,46
580,0.6998310089111328,0,20,7,0,7,7,51
580,0,8.066882133483887,0,1,0,11,1,44
590,0.621660053730011,0,25,5,0,8,7,52
590,0,8.089068412780762,0,1,0,14,1,44
600,0.7209614515304565,0,20,7,0,9,6,52
600,0,8.242223739624023,1,1,0,13,2,45
610,0.3026360869407654,0,25,6,0,11,3,52
610,0,8.015251159667969,0,3,0,6,3,43
620,0.6268450021743774,0,19,6,0,12,7,51
620,0,8.187313079833984,1,0,0,6,1,43
630,0.5805492401123047,0,20,8,0,13,6,54
630,0,8.793776512145996,0,0,0,12,1,46
640,0.5203699469566345,0,19,12,0,8,4,51
640,0,8.500017166137695,0,1,0,11,4,45
650,0.5687476396560669,0,22,7,0,11,5,52
650,0,8.186073303222656,1,1,0,11,4,44
660,0.7329767346382141,0,24,7,0,8,6,52
660,0,7.748842239379883,0,1,0,13,2,43
670,0.892748236656189,0,16,12,0,7,6,52
670,0,8.737101554870605,0,1,0,13,3,44
680,0.35830309987068176,0,24,7,0,7,5,51
680,0,8.64426040649414,1,1,0,9,4,44
690,0.6704193353652954,0,20,10,0,11,7,53
690,0,8.887236595153809,0,2,0,12,1,46
700,0.48576581478118896,0,18,15,0,12,4,52
700,0,8.786087036132812,1,1,0,12,4,44
710,0.6347603797912598,0,24,7,0,13,5,52
710,0,9.196380615234375,0,2,0,11,2,47
720,0.9728143215179443,0,18,12,0,7,9,52
720,0,8.958625793457031,0,2,0,11,3,45
730,0.4863916337490082,0,20,8,0,11,8,51
730,0,8.855186462402344,0,1,0,11,3,45
740,0.5155320167541504,0,19,9,0,13,6,52
740,0,8.359624862670898,0,1,0,14,2,44
750,0.45155563950538635,0,20,9,0,8,6,52
750,0,8.325894355773926,0,0,0,8,4,42
760,0.44639158248901367,0,26,4,0,10,7,53
760,0,8.464122772216797,0,1,0,8,3,43
770,0.5713423490524292,0,24,10,0,9,4,53
770,0,8.485471725463867,0,0,0,8,2,42
780,0.6718730926513672,0,20,7,0,11,8,51
780,0,8.875711441040039,0,2,0,10,2,44
790,0.5103853344917297,0,21,8,0,10,7,51
790,0,8.235725402832031,0,3,0,11,4,44
800,0.595273494720459,0,22,8,0,9,5,52
800,0,8.822957038879395,0,0,0,14,5,45
810,0.5989692807197571,0,23,6,0,11,6,51
810,0,9.122002601623535,0,1,0,12,2,46
820,0.4702223539352417,0,19,13,0,7,2,53
820,0,8.974061965942383,0,2,0,11,2,44
830,0.4764379560947418,0,24,6,0,9,5,52
830,0,9.217025756835938,0,1,0,7,3,45
840,0.4967155456542969,0,22,9,0,6,6,52
840,0,9.483535766601562,0,0,0,10,1,46
850,0.43787211179733276,0,21,8,0,12,4,53
850,0,9.67203140258789,0,1,0,12,4,46
860,0.7209013104438782,0,22,9,0,11,6,52
860,0,8.548176765441895,0,2,0,9,1,42
870,0.44721585512161255,0,18,15,0,10,4,52
870,0,8.812788963317871,1,2,0,12,1,44
880,0.41892701387405396,0,21,9,0,12,5,53
880,0,8.808305740356445,0,1,0,13,2,43
890,0.46453532576560974,0,17,8,0,13,9,51
890,0,9.018798828125,0,0,0,14,2,45
900,0.37337514758110046,0,20,10,0,7,6,51
900,0,8.819753646850586,0,2,0,9,2,43
910,0.36273157596588135,0,22,9,0,9,6,52
910,0,9.372535705566406,0,1,0,10,2,45
920,0.40738445520401,0,18,11,0,13,2,51
920,0,8.552252769470215,1,1,0,8,3,42
930,0.3468557596206665,0,18,13,0,13,5,52
930,0,8.97943115234375,0,2,0,12,3,44
940,0.2376900315284729,0,27,7,0,7,6,52
940,0,9.136106491088867,0,1,0,11,3,43
950,0.4662540555000305,0,24,6,0,13,6,52
950,0,9.364313125610352,1,1,0,12,2,44
960,0.41734081506729126,0,23,9,0,10,5,52
960,0,8.876561164855957,1,1,0,10,2,45
970,0.2922796308994293,0,25,6,0,9,5,51
970,0,8.67556381225586,1,0,0,14,2,45
980,0.485126256942749,0,25,3,0,14,4,52
980,0,8.975913047790527,0,1,0,11,1,44
990,0.28031113743782043,0,24,7,0,13,6,52
990,0,8.4808349609375,1,0,0,8,3,42
1000,0.3453544080257416,0,25,8,0,11,4,52
1000,0,9.402448654174805,0,0,0,8,2,43
1010,0.2812376320362091,0,24,7,0,7,7,52
1010,0,9.105031967163086,0,1,0,12,3,44
1020,0.5326591730117798,0,21,8,0,10,9,52
1020,0,8.884586334228516,0,3,0,11,1,45
1030,0.2147214710712433,0,22,4,0,11,9,52
1030,0,8.891926765441895,0,2,0,10,0,43
1040,0.3873378038406372,0,23,6,0,11,5,51
1040,0,9.013334274291992,1,1,0,14,1,44
1050,0.42109739780426025,0,18,14,0,12,3,51
1050,0,9.33311939239502,0,1,0,9,0,44
1060,0.21369926631450653,0,23,10,0,13,2,53
1060,0,9.613818168640137,1,1,0,7,2,44
1070,0.4325673282146454,0,16,13,0,14,5,53
1070,0,8.873425483703613,0,2,0,12,1,43
1080,0.3432013988494873,0,23,4,0,14,8,54
1080,0,8.973873138427734,0,0,0,14,3,45
1090,0.5051151514053345,0,21,9,0,12,5,51
1090,0,9.13369083404541,0,0,0,15,1,45
1100,0.3430606424808502,0,22,8,0,9,5,53
1100,0,9.000894546508789,1,1,0,12,1,46
1110,0.5264379978179932,0,20,9,0,12,8,52
1110,0,9.837688446044922,0,1,0,13,2,46
1120,0.2735183835029602,0,20,11,0,11,6,53
1120,0,9.374563217163086,0,1,0,11,1,43
1130,0.22845026850700378,0,21,9,0,14,5,53
1130,0,9.013863563537598,0,0,0,13,1,43
1140,0.36414051055908203,0,21,7,0,12,7,52
1140,0,10.256330490112305,0,1,0,10,0,47
1150,0.2761313319206238,0,25,6,0,13,4,52
1150,0,9.434473037719727,0,1,0,9,1,43
1160,0.30686628818511963,0,24,10,0,10,2,51
1160,0,8.801486015319824,1,1,0,10,2,44
1170,0.26318860054016113,0,21,10,0,10,6,53
1170,0,9.103750228881836,0,0,0,8,3,43
1180,0.24740822613239288,0,22,5,0,13,8,52
1180,0,9.195698738098145,0,0,0,11,2,43
1190,0.32431358098983765,0,23,9,0,9,4,51
1190,0,9.543364524841309,1,1,0,11,1,45
1200,0.2657237648963928,0,27,5,0,8,6,51
1200,0,9.209213256835938,0,1,0,12,0,45
1210,0.24074098467826843,0,21,7,0,12,8,51
1210,0,9.762529373168945,0,0,0,13,1,46
1220,0.4064319133758545,0,20,9,0,13,7,51
1220,0,9.85222053527832,0,0,0,10,3,43
1230,0.20005077123641968,0,21,10,0,14,3,52
1230,0,9.135851860046387,0,1,0,10,3,44
1240,0.30937379598617554,0,22,9,0,13,4,52
1240,0,10.06595230102539,0,0,0,10,2,45
1250,0.26367640495300293,0,23,10,0,11,5,53
1250,0,9.934675216674805,1,1,0,9,0,46
1260,0.21663719415664673,0,27,5,0,11,5,51
1260,0,8.650710105895996,0,1,0,12,2,43
1270,0.21714290976524353,0,26,6,0,12,5,52
1270,0,9.384532928466797,0,2,0,10,0,43
1280,0.39871203899383545,0,25,10,0,8,3,52
1280,0,9.235342979431152,0,0,0,11,3,43
1290,0.2855920195579529,0,24,10,0,10,3,52
1290,0,9.817967414855957,0,1,0,10,2,43
1300,0.2902486026287079,0,21,10,0,14,3,52
1300,0,9.649715423583984,0,0,0,14,1,45
1310,0.19237609207630157,0,25,7,0,9,9,53
1310,0,10.081124305725098,0,1,0,11,2,45
1320,0.24805110692977905,0,18,10,0,14,5,53
1320,0,9.322602272033691,0,0,0,10,3,44
1330,0.1675141304731369,0,25,9,0,10,6,52
1330,0,9.332797050476074,0,2,0,11,0,43
1340,0.20387214422225952,0,25,6,0,12,7,52
1340,0,9.066450119018555,0,2,0,14,1,44
1350,0.23866739869117737,0,26,7,0,12,3,53
1350,0,9.412511825561523,0,0,0,14,2,45
1360,0.283962607383728,0,26,6,0,11,5,51
1360,0,8.74545669555664,0,2,0,12,1,44
1370,0.3320118188858032,0,24,7,0,12,5,53
1370,0,10.245376586914062,1,0,0,9,1,45
1380,0.2023600935935974,0,23,6,0,12,7,51
1380,0,9.622550010681152,0,0,0,15,2,46
1390,0.1608528196811676,0,19,13,0,10,5,52
1390,0,8.940698623657227,0,2,0,9,2,42
1400,0.2567722797393799,0,24,9,0,11,6,53
1400,0,9.966705322265625,0,0,0,10,2,44
1410,0.4608907401561737,0,26,9,0,8,5,52
1410,0,9.028078079223633,0,2,0,9,1,43
1420,0.130770742893219,0,26,11,0,7,5,52
1420,0,8.93289852142334,0,0,0,10,5,43
1430,0.2475736439228058,0,23,5,0,14,5,53
1430,0,8.52198314666748,0,2,0,12,2,43
1440,0.2662791907787323,0,19,10,0,14,7,52
1440,0,9.159934997558594,0,0,0,7,3,44
1450,0.1884579360485077,0,25,8,0,10,7,54
1450,0,9.50551986694336,1,1,0,9,2,46
1460,0.19105607271194458,0,24,4,0,13,8,52
1460,0,9.04804515838623,0,3,0,13,0,43
1470,0.17638951539993286,0,24,10,0,12,3,52
1470,0,9.257702827453613,0,1,0,8,3,44
1480,0.24205127358436584,0,20,8,0,14,6,52
1480,0,9.527159690856934,1,0,0,5,1,44
1490,0.2915356755256653,0,19,10,0,9,9,52
1490,0,9.166566848754883,0,2,0,11,2,43
1500,0.18864230811595917,0,24,10,0,9,6,52
1500,0,9.969484329223633,0,1,0,12,1,44
