Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Other Errors,Background Predictions,Total Bounding Boxes
56,2.641523250579834,0,1483,1486,6925,994,28914
56,0,5.121077135086059,44,82,1326,102,5896
57,2.6254284313201905,0,1501,1556,6837,1037,29026
57,0,5.130345623016358,46,92,1319,100,5931
58,2.593181385040283,0,1502,1651,6842,1011,28969
58,0,5.14463920211792,46,101,1372,111,5955
59,2.5683768856048586,0,1538,1653,6840,1022,28889
59,0,5.215142395019531,56,90,1307,114,5963
60,2.548680577468872,0,1616,1668,6786,1130,28965
60,0,5.108532402038574,61,109,1343,119,5948
