Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Similar Object Errors,Other Errors,Background Predictions,Total Bounding Boxes
0,22.712116241455078,0,1,6,0,5,21,51
0,0,20.996706008911133,1,4,0,5,19,50
10,8.245124816894531,0,7,12,0,1,22,51
10,0,15.043846130371094,1,5,0,5,13,47
20,3.76371431350708,0,6,9,0,4,25,50
20,0,12.17966079711914,0,0,0,12,1,53
30,3.234797954559326,0,8,6,0,11,15,51
30,0,9.620805740356445,0,0,0,13,0,49
40,1.7227460145950317,0,10,7,0,11,13,52
40,0,9.039275169372559,0,1,0,15,0,48
50,2.1543047428131104,0,8,10,0,13,10,52
50,0,8.816994667053223,0,0,0,15,0,49
60,2.148021936416626,0,7,8,0,14,8,51
60,0,9.291059494018555,0,0,0,12,0,49
70,1.3653485774993896,0,15,5,0,15,4,52
70,0,9.898193359375,0,0,0,10,0,50
80,1.1495070457458496,0,15,4,0,17,3,52
80,0,9.266036987304688,0,0,0,13,0,50
90,1.210211992263794,0,13,7,0,13,3,52
90,0,9.374653816223145,0,0,0,15,0,48
100,1.4211838245391846,0,13,7,0,12,7,52
100,0,8.452180862426758,0,0,0,12,0,45
110,0.9376455545425415,0,18,5,0,11,4,51
110,0,9.164594650268555,0,0,0,12,0,49
120,1.3932406902313232,0,15,6,0,11,6,52
120,0,9.535654067993164,0,0,0,12,0,49
130,0.9982070922851562,0,13,4,0,21,5,52
130,0,9.577888488769531,0,0,0,13,0,51
140,1.1944425106048584,0,17,6,0,13,3,52
140,0,8.395998001098633,0,0,0,15,0,46
150,1.1189281940460205,0,13,5,0,17,5,52
150,0,9.758159637451172,0,0,0,13,0,51
160,1.084743618965149,0,13,7,0,16,3,51
160,0,9.20605754852295,0,0,0,12,0,48
170,1.018930196762085,0,14,9,0,13,3,52
170,0,9.68419075012207,0,0,0,16,0,52
180,1.0514132976531982,0,13,10,0,10,5,52
180,0,9.423995971679688,0,0,0,17,0,52
190,0.9209062457084656,0,16,7,0,15,4,52
190,0,9.841716766357422,0,0,0,15,0,51
200,1.0873593091964722,0,11,5,0,15,6,50
200,0,8.682778358459473,0,0,0,14,0,48
210,0.7447850108146667,0,14,8,0,18,6,52
210,0,9.408249855041504,0,0,0,14,0,50
220,0.8469187617301941,0,15,9,0,14,2,52
220,0,9.421339988708496,0,0,0,14,0,49
230,0.8945367336273193,0,15,8,0,12,4,51
230,0,10.186532974243164,0,0,0,14,0,52
240,1.024353265762329,0,16,6,0,15,4,51
240,0,8.42192554473877,0,0,0,17,0,48
250,0.8414804935455322,0,14,10,0,13,3,51
250,0,9.357158660888672,0,0,0,13,1,51
260,0.7531920671463013,0,16,4,0,22,3,51
260,0,10.064852714538574,0,0,0,13,0,52
270,0.8030626773834229,0,13,7,0,19,4,50
270,0,10.228952407836914,0,0,0,12,2,52
280,0.7915588021278381,0,15,5,0,19,4,53
280,0,9.599970817565918,0,0,0,16,0,48
290,0.8464115858078003,0,14,6,0,16,4,53
290,0,9.62224292755127,0,0,0,12,1,46
300,0.8049869537353516,0,15,8,0,15,2,52
300,0,10.400880813598633,0,0,0,15,1,53
310,0.8076132535934448,0,15,4,0,15,5,51
310,0,10.058775901794434,0,0,0,14,0,50
320,0.6131131052970886,0,17,6,0,15,5,52
320,0,8.868478775024414,0,0,0,15,1,46
330,0.7778431177139282,0,16,5,0,18,5,52
330,0,9.028029441833496,0,0,0,15,1,47
340,0.9092402458190918,0,18,8,0,13,4,52
340,0,10.246567726135254,0,0,0,13,0,49
350,0.6020758152008057,0,16,6,0,17,4,52
350,0,10.101935386657715,0,0,0,12,0,51
360,0.6076913475990295,0,17,11,0,14,2,53
360,0,11.13011646270752,0,0,0,11,0,53
370,0.905738115310669,0,12,7,0,17,4,51
370,0,11.008711814880371,0,0,0,13,2,51
380,0.7129815220832825,0,13,6,0,19,5,52
380,0,10.550092697143555,0,0,0,16,1,52
390,0.6600845456123352,0,18,5,0,18,3,53
390,0,9.445999145507812,0,0,0,12,0,47
400,0.556172251701355,0,15,4,0,20,7,54
400,0,10.550408363342285,0,0,0,13,0,51
410,0.9251388311386108,0,11,7,0,17,3,52
410,0,9.973772048950195,0,0,0,14,2,49
420,0.5844805240631104,0,16,5,0,18,3,52
420,0,10.654448509216309,0,2,0,8,0,49
430,0.7000463604927063,0,17,7,0,15,5,54
430,0,10.342826843261719,0,1,0,13,1,49
440,0.5586730241775513,0,18,3,0,21,2,51
440,0,10.06393051147461,0,1,0,10,1,49
450,0.5634478330612183,0,15,9,0,18,3,52
450,0,11.026215553283691,0,1,0,11,3,51
460,0.5136198401451111,0,15,6,0,19,3,52
460,0,9.63422679901123,0,1,0,11,2,49
470,0.6570135354995728,0,17,6,0,16,2,50
470,0,10.817012786865234,0,2,0,12,0,51
480,0.536986768245697,0,16,8,0,21,2,52
480,0,11.092462539672852,0,2,0,14,2,52
490,0.5738738179206848,0,18,8,0,16,4,52
490,0,10.989410400390625,0,1,0,12,2,50
500,0.44499534368515015,0,18,5,0,20,5,51
500,0,10.26441764831543,0,1,0,15,1,50
510,0.7904276847839355,0,15,10,0,15,3,53
510,0,10.077675819396973,0,1,0,11,2,47
