Epoch,Train Loss,Validation Loss
1,14.830439031982422,13.513202804565429
2,12.015472262573242,11.056106956481933
3,10.525229222106933,9.751367607116698
4,9.420642791748048,9.026359542846679
5,8.517233145141601,8.070071327209472
6,7.817982614135742,7.561775527954102
7,7.226812246704101,6.921511001586914
8,6.7337404830932615,6.624184066772461
9,6.30132117767334,6.476688987731934
10,5.953023111724853,5.882792839050293
11,5.585132270812989,5.620181503295899
12,5.334112088012695,5.537712265014648
13,5.1155490219116215,5.082489276885986
14,4.967774848937989,5.284796798706055
15,4.821056899261475,4.902849739074707
16,4.664256198120118,4.7122699127197265
17,4.593353427124024,4.91750936126709
18,4.4040149963378905,4.540763236999512
19,4.319382362365722,4.392319137573242
20,4.267625996398926,4.288510242462158
21,4.1106716796875,4.300340538024902
22,4.002720716094971,4.224369485855102
23,3.9574256393432616,4.144622585296631
24,3.8801907196044922,4.049518367767334
25,3.8028569122314453,4.002906360626221
26,3.7526661308288576,4.060268932342529
27,3.6817677238464355,3.9308799896240236
28,3.5241494766235353,3.7114646148681643
29,3.387072019958496,3.6707629947662355
30,3.3003394622802733,3.599420249938965
31,3.2518620666503906,3.598279426574707
32,3.2309669723510743,3.496635335922241
33,3.18487706451416,3.4797726802825926
34,3.1687428974151612,3.5541483211517333
35,3.134528074645996,3.488104009628296
36,3.109558415222168,3.5441559810638426
37,3.102269384765625,3.4963022232055665
38,3.084571732330322,3.5201870269775393
39,3.069550128173828,3.4814319553375244
40,3.0852869766235353,3.4202007598876953
41,3.016376847076416,3.2910506019592285
42,2.952780185317993,3.3148751945495607
43,2.891066313934326,3.318621500015259
44,2.847670878982544,3.1965110359191895
45,2.830933878326416,3.322996591567993
46,2.7885990570068357,3.237506576538086
47,2.7777579345703125,3.194844673156738
48,2.714128503036499,3.157534942626953
49,2.714576731109619,3.129126419067383
50,2.711533420562744,3.178180156707764
51,2.6597956798553466,3.1738432655334474
52,2.6426183807373045,3.0642440357208254
53,2.62386298789978,3.1037506523132325
54,2.605268229103088,3.070437294006348
55,2.5754763118743895,3.124824920654297
56,2.555760523223877,3.051036205291748
57,2.5614698993682863,3.0266972999572754
58,2.5189154804229736,3.0550307235717775
59,2.4848069118499754,3.0120751342773437
60,2.4824564651489256,3.032768772125244
