Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Other Errors,Background Predictions,Total Bounding Boxes,TP_class_loca_good,FP_class_bad_IOU_good,FP_class_good_IOU_bad,FP_class_IOU_good,FN_class_good_IOU_bad,FN_class_bad_IOU_good,FN_class_bad_IOU_bad
20,0,3.306644752040655,54,71,1921,40,5975,54,0,133,0,111,358,5452
21,3.1488651011149087,0,621,879,21101,604,65617,621,0,1197,0,1483,4331,59182
21,0,3.2564982539253786,43,97,1902,69,5956,43,0,198,0,166,376,5371
22,3.153072422281901,0,549,899,21309,572,65690,549,0,1155,0,1471,4389,59281
22,0,3.2764116217113544,53,107,1893,64,5977,53,0,146,0,171,354,5399
23,3.156511553446452,0,614,995,21367,623,65956,614,0,1215,0,1618,4363,59361
23,0,3.3482968117550675,63,98,1833,88,6020,63,0,189,0,186,350,5421
24,3.11554719543457,0,627,992,21552,586,65577,627,0,1195,0,1578,4356,59016
24,0,3.262291737218971,63,92,1856,57,5985,63,0,153,0,149,386,5387
25,3.1226328346252443,0,640,1090,21414,671,65860,640,0,1355,0,1761,4330,59129
25,0,3.257564997256931,56,106,1967,59,5927,56,0,153,0,165,342,5364
26,3.0900651341756187,0,654,1068,21532,701,65656,654,0,1292,0,1769,4301,58932
26,0,3.281860793163641,72,88,1932,66,6022,72,0,142,0,154,371,5425
27,3.0860885045369466,0,681,1119,21252,706,65643,681,0,1355,0,1825,4444,58693
27,0,3.2930743758934296,53,97,1899,82,6047,53,0,134,0,179,379,5436
28,3.097601534525553,0,740,1229,21148,764,65817,740,0,1543,0,1993,4361,58723
28,0,3.294404388580719,62,110,1892,75,5980,62,0,176,0,185,369,5364
29,3.0763764572143555,0,736,1211,21309,806,65689,736,0,1484,0,2017,4425,58511
29,0,3.2793291313604844,79,118,1907,73,5983,79,0,151,0,191,346,5367
30,3.0718400604248046,0,713,1169,21189,811,65708,713,0,1429,0,1980,4540,58475
30,0,3.273465928560378,79,104,1891,72,5989,79,0,162,0,176,333,5401
31,3.0664838068644205,0,746,1241,21217,793,65673,746,0,1464,0,2034,4497,58396
31,0,3.250583825747054,58,95,1941,84,5938,58,0,139,0,179,351,5350
32,3.0602256693522136,0,683,1215,21386,825,65861,683,0,1453,0,2040,4610,58528
32,0,3.2846516596089055,58,112,1879,73,5973,58,0,174,0,185,372,5358
33,3.0497712275187174,0,772,1355,21162,884,65698,772,0,1589,0,2239,4516,58171
33,0,3.307589960505517,35,80,1931,62,6003,35,0,142,0,142,368,5458
34,3.0455252253214518,0,735,1254,21300,879,65630,735,0,1611,0,2133,4494,58268
34,0,3.2561371042256546,73,93,1943,94,5971,73,0,174,0,187,348,5363
35,3.0365953099568683,0,729,1259,21414,899,65729,729,0,1467,0,2158,4556,58286
35,0,3.2688583738069927,65,84,1882,60,5998,65,0,136,0,144,409,5380
36,3.0133260553995767,0,803,1375,21392,909,65494,803,0,1577,0,2284,4444,57963
36,0,3.2706890113283786,73,90,1857,86,5979,73,0,157,0,176,352,5378
37,3.023295481872559,0,897,1394,21418,932,65818,897,0,1702,0,2326,4426,58169
37,0,3.3098583943862434,66,86,1812,64,5987,66,0,164,0,150,363,5408
38,3.0241517868041994,0,810,1399,21081,939,65895,810,0,1734,0,2338,4699,58048
38,0,3.3106091765280863,54,115,1875,68,6011,54,0,156,0,183,343,5431
39,3.0078861389160156,0,886,1451,21099,968,65642,886,0,1696,0,2419,4483,57854
39,0,3.2933291206119053,55,105,1854,69,5982,55,0,203,0,174,369,5384
40,3.005862410481771,0,929,1468,21435,996,65780,929,0,1716,0,2464,4413,57974
40,0,3.2549531039277992,78,87,2001,76,5983,78,0,153,0,163,320,5422
41,3.0065526580810547,0,905,1463,21258,1023,65824,905,0,1686,0,2486,4517,57916
41,0,3.248717731939033,76,134,1792,106,5956,76,0,195,0,240,383,5257
42,2.9878844797770183,0,1001,1582,21118,967,65642,1001,0,1819,0,2549,4451,57641
42,0,3.308705116354131,72,124,1855,100,6032,72,0,187,0,224,326,5410
43,2.9826892598470054,0,921,1606,21260,1041,65788,921,0,1881,0,2647,4571,57649
43,0,3.312677192192205,86,162,1886,121,6030,86,0,266,0,283,340,5321
44,2.9713076395670575,0,894,1742,21211,1154,65708,894,0,1915,0,2896,4552,57366
44,0,3.32143799859354,63,110,1868,108,6006,63,0,217,0,218,365,5360
45,2.9768025767008464,0,954,1546,21131,1066,65650,954,0,1889,0,2612,4623,57461
45,0,3.2313055285635466,78,140,1853,107,5950,78,0,211,0,247,340,5285
46,2.9693288683573407,0,1016,1555,21306,1141,65713,1016,0,1946,0,2696,4640,57361
46,0,3.329791574021321,62,128,1861,98,6032,62,0,213,0,226,375,5369
47,2.9614338317871094,0,928,1606,21273,1128,65663,928,0,1843,0,2734,4669,57332
47,0,3.3321460694838225,78,106,1925,86,6054,78,0,204,0,192,351,5433
48,2.9505007774353027,0,988,1682,21168,1170,65651,988,0,2011,0,2852,4626,57185
48,0,3.308931113440354,72,138,1848,107,5989,72,0,230,0,245,340,5332
49,2.9539183756510417,0,1002,1711,21439,1162,65770,1002,0,1962,0,2873,4551,57344
49,0,3.2413694701848135,74,135,1806,100,5946,74,0,230,0,235,372,5265
50,2.9542693232218427,0,1039,1614,21321,1141,65766,1039,0,1854,0,2755,4636,57336
50,0,3.277192357655046,75,145,1867,117,6010,75,0,224,0,262,350,5323
51,2.9516877955118814,0,988,1730,21157,1194,65940,988,0,1897,0,2924,4754,57274
51,0,3.2611582090630655,71,120,1891,96,5927,71,0,189,0,216,347,5293
52,2.942271683247884,0,1088,1771,21185,1197,65728,1088,0,2028,0,2968,4561,57111
52,0,3.2963836951810013,71,128,1875,107,5997,71,0,226,0,235,371,5320
53,2.9422001439412435,0,1015,1757,21151,1236,65933,1015,0,2023,0,2993,4694,57231
53,0,3.2888017506392258,69,126,1868,101,5974,69,0,228,0,227,355,5323
54,2.9216972788492837,0,1072,1794,21281,1237,65704,1072,0,2037,0,3031,4733,56868
54,0,3.295320745298865,62,119,1882,86,5965,62,0,199,0,205,368,5330
55,2.9274162307739258,0,1163,1899,21209,1245,65801,1163,0,2108,0,3144,4536,56958
55,0,3.269828333891859,75,143,1881,104,5938,75,0,245,0,247,343,5273
56,2.9260681681315104,0,1152,1809,21072,1232,65913,1152,0,2034,0,3041,4674,57046
56,0,3.3750740377778152,82,144,1828,126,6056,82,0,288,0,270,382,5322
57,2.915684406789144,0,1135,1818,21279,1220,65786,1135,0,2039,0,3038,4664,56949
57,0,3.293052514866299,79,136,1866,103,5991,79,0,230,0,239,342,5331
58,2.907658980814616,0,1127,1865,21257,1261,65673,1127,0,2165,0,3126,4660,56760
58,0,3.308962603461729,79,151,1864,128,5996,79,0,277,0,279,334,5304
59,2.9068327779134115,0,1042,1867,21231,1284,65589,1042,0,2107,0,3151,4780,56616
59,0,3.315860327406528,82,135,1882,118,6007,82,0,243,0,253,362,5310
60,2.92109942779541,0,1017,1854,21235,1396,65812,1017,0,2124,0,3250,4711,56834
60,0,3.128899198901109,92,136,1873,129,6049,92,0,215,0,265,361,5331
61,2.821280950419108,0,1178,2122,21096,1502,65658,1178,0,2316,0,3624,4874,55982
