Epoch,Train Loss,Validation Loss,Correct Predictions,Localization Errors,Other Errors,Background Predictions,Total Bounding Boxes,TP_class_loca_good,FP_class_bad_IOU_good,FP_class_good_IOU_bad,FP_class_IOU_good,FN_class_good_IOU_bad,FN_class_bad_IOU_good,FN_class_bad_IOU_bad
58,2.907658980814616,3.308962603461729,79,151,1864,128,5996,79,0,277,0,279,334,5304
59,2.9068327779134115,3.315860327406528,82,135,1882,118,6007,82,0,243,0,253,362,5310
60,2.92109942779541,3.128899198901109,92,136,1873,129,6049,92,0,215,0,265,361,5331
61,2.821280950419108,3.0280039171458975,92,173,1934,140,6030,92,0,248,0,313,439,5186
62,2.7631855847676596,2.967065693585792,97,185,1867,150,5981,97,0,282,0,335,420,5129
63,2.70771707611084,2.845228356674087,128,212,1866,162,5987,128,0,248,0,374,382,5103
64,2.6622700251261393,2.82534567503251,112,244,1797,179,5938,112,0,275,0,423,440,4963
65,2.606059752400716,2.809175211569655,147,300,1768,238,5999,147,0,327,0,538,403,4911
66,2.580455460611979,2.7522297337557187,170,293,1755,207,5954,170,0,332,0,500,409,4875
67,2.5182270462036134,2.6949755218539857,165,338,1709,249,5953,165,0,323,0,587,451,4750
68,2.497338857269287,2.6744473521434107,215,418,1621,267,6009,215,0,408,0,685,427,4682
69,2.4466815366109214,2.640447644199353,226,366,1771,205,6021,226,0,333,0,571,425,4799
70,2.416491465504964,2.626409313203321,235,463,1618,309,5983,235,0,463,0,772,392,4584
71,2.3886533734639483,2.546411782713393,238,430,1723,283,5936,238,0,355,0,713,415,4570
72,2.3443496388753253,2.5507605630936254,230,482,1644,313,6005,230,0,398,0,795,405,4575
73,2.3219754117329914,2.495923797304286,285,577,1601,308,5961,285,0,458,0,885,367,4424
74,2.293161961619059,2.473075747711261,298,586,1514,377,5928,298,0,474,0,963,361,4306
75,2.2585883483886717,2.4446730934196896,289,590,1582,413,5996,289,0,463,0,1003,382,4322
76,2.226318548075358,2.448484504351242,327,608,1559,414,5973,327,0,491,0,1022,371,4253
77,2.2082245516459147,2.4380282303944334,300,652,1508,423,6002,300,0,482,0,1075,400,4227
78,2.17595912399292,2.3880301361140646,317,643,1541,427,5961,317,0,487,0,1070,393,4181
79,2.1517302327473957,2.364368541418643,349,676,1454,466,5997,349,0,493,0,1142,370,4136
80,2.129398566691081,2.357936540413115,322,665,1513,422,5955,322,0,481,0,1087,388,4158
