Epoch,Train Loss,Validation Loss
1,16.276585220336916,14.222670349121094
2,13.010523403930664,12.445139739990234
3,11.517147030639649,11.062292694091797
4,10.347767848205567,10.213680404663085
5,9.427614303588868,9.348319892883302
6,8.654128398132324,8.613392898559571
7,8.045673858642578,8.181517570495606
8,7.489149435424805,7.70187022781372
9,7.086035794067382,7.417271293640137
10,6.634899261474609,7.031343681335449
11,6.314365100097656,7.0147642974853515
12,6.039284156799316,6.679619453430176
13,5.790107884216309,6.509477615356445
14,5.553377838134765,6.392893562316894
15,5.285597473907471,6.318374038696289
16,5.132698887634278,6.149159996032715
17,4.975037928771973,6.1239203910827635
18,4.793420338439941,6.081128692626953
19,4.67140034866333,5.93339656829834
20,4.544094155883789,5.911254199981689
21,4.393317820739746,5.830976097106934
22,4.296970930480957,5.716385120391846
23,4.12546729888916,5.723889549255371
24,4.007423553466797,5.644419582366943
25,3.9142477210998536,5.576370313644409
26,3.805685125732422,5.614031105041504
27,3.7325719993591306,5.5083744277954105
28,3.6201176063537597,5.454555480957032
29,3.5757061004638673,5.452299610137939
30,3.4913103454589844,5.4589989967346195
31,3.4485311645507815,5.457790702819824
32,3.4131752044677732,5.449715801239014
33,3.369605768585205,5.396965366363525
34,3.340350452041626,5.472308151245117
35,3.2953199729919436,5.436804630279541
36,3.261810234069824,5.504552108764648
37,3.2267816135406493,5.491630432128907
38,3.211542535400391,5.442137775421142
39,3.1700364292144774,5.465121547698975
40,3.3715507865905763,5.272054267883301
41,3.263644007110596,5.342270179748535
42,3.1475829719543458,5.300147972106934
43,3.0656501567840575,5.2077497940063475
44,3.0115617378234862,5.184713314056396
45,2.9563567375183104,5.222166305541992
46,2.9229110801696776,5.203384090423584
47,2.90484981842041,5.217890594482422
48,2.8795637432098387,5.2309356079101565
49,2.8243912078857423,5.190826061248779
50,2.790672092437744,5.246456615447998
51,2.764896244812012,5.219347393035888
52,2.733392667770386,5.198345630645752
53,2.7125420658111574,5.179464756011963
54,2.6868199924468996,5.188858020782471
55,2.647640035247803,5.186702541351318
56,2.641523250579834,5.121077135086059
57,2.6254284313201905,5.130345623016358
58,2.593181385040283,5.14463920211792
59,2.5683768856048586,5.215142395019531
60,2.548680577468872,5.108532402038574
